state,lat,long,value
ND,46.1583,-98.3989,-9.995844156
ND,48.4181,-97.4247,-22.56691993
ND,47.9217,-97.0975,-9.98961039
ND,47.4389,-97.0664,-13.73274711
ND,46.8844,-98.685,0
ND,48.7622,-98.3447,-15.37350649
ND,46.4444,-97.6928,-9.640111806
ND,46.8128,-100.9097,-13.76623377
ND,46.6706,-100.2294,-10.41232623
ND,46.3747,-102.3211,-15.18944151
ND,46.5067,-99.7692,-8.539220779
ND,46.5406,-102.8692,-9.548051948
ND,46.8886,-102.3192,-13.33113239
ND,48.3706,-100.3908,0
ND,48.6061,-100.2911,-7.636363636
OH,40.8125,-82.9697,-8.489350649
OH,40.2686,-80.9981,0
OH,41.0517,-81.9361,0
OH,39.6103,-82.9556,0
OH,40.2403,-81.8711,-7.738573335
OH,41.2783,-84.3847,-10.80623377
OH,41.0461,-83.6622,-10.91220779
OH,40.1033,-84.6503,0
OH,39.2333,-83.6092,-7.945398453
OH,41.3072,-81.1475,0
OH,40.6486,-83.6061,0
OH,39.6522,-81.8561,0
OH,40.5375,-81.9197,0
OH,40.7692,-80.8561,0
OH,41.2633,-82.6147,0
OH,41.2803,-82.2186,0
OH,39.8386,-81.9167,0
OH,38.7569,-82.8872,0
OH,41.1167,-83.1667,0
OH,40.8333,-83.2833,0
OH,40.0992,-83.7822,-11.63428571
OH,41.2019,-80.8106,0
OH,41.5183,-84.1453,0
OH,39.1114,-82.9797,-9.398441558
OH,40.7814,-81.9197,0
OK,34.7864,-96.685,0
OK,34.5903,-99.3344,0
OK,34.2208,-95.615,0
OK,34.1772,-97.1617,-12.58538755
OK,36.8125,-100.5308,0
OK,36.7236,-102.4806,-9.051271757
OK,36.8003,-99.64,-11.37154378
OK,35.1756,-98.5794,-11.17942724
OK,36.7672,-98.4244,0
OK,36.3225,-95.5808,0
OK,34,-96.3686,0
OK,36.4194,-97.8747,0
OK,35.2164,-99.8628,0
OK,35.6306,-98.3217,-11.50650449
OK,36.5914,-101.6181,0
OK,35.8161,-97.395,0
OK,35.585,-99.3953,0
OK,36.0942,-97.835,0
OK,35.0567,-96.3861,0
OK,36.8594,-101.2214,-9.580335468
OK,36.6856,-97.7486,0
OK,35.8583,-97.9294,0
OK,34.6097,-98.4572,-9.660098522
OK,34.8911,-99.5017,0
OK,35.505,-96.9772,0
OK,36.8833,-94.8833,0
OK,35.7781,-95.3339,0
OK,36.2283,-99.17,0
OK,36.9422,-97.0058,0
OK,36.1217,-98.315,-9.769969278
OK,35.4253,-96.3033,-17.65472028
OK,35.6239,-96.025,0
OK,34.7253,-97.2814,0
OK,36.6692,-96.3472,-10.32420784
OK,36.2886,-97.2897,0
OK,36.1175,-97.095,0
OK,35.9369,-94.9644,-11.82128369
OK,34.1747,-97.9964,-13.03373876
OK,35.52,-98.6986,0
OK,35.4814,-95.2039,0
OR,42.2131,-122.7147,7.833766234
OR,44.0569,-121.285,-18.25662338
OR,42.0464,-124.2878,-23.20233463
OR,44.3914,-122.4811,-11.36346154
OR,45.2408,-120.1789,-12.88363223
OR,44.6342,-123.19,0
OR,43.7917,-123.0275,-8.451228248
OR,42.8978,-122.1339,-11.19896104
OR,43.6592,-123.325,-12.22458755
OR,45.4539,-121.1303,-14.58248863
OR,45.5247,-123.1025,0
OR,42.4239,-123.3219,-9.888831169
OR,45.4486,-122.1547,-27.47636364
OR,45.3653,-119.5639,-9.248831169
OR,45.6847,-121.5175,-7.444155844
OR,42.2414,-120.3678,0
OR,44.1792,-122.1164,-21.66281318
OR,45.2214,-123.1622,-24.473319
OR,45.9428,-118.4089,0
OR,45.4825,-120.7236,0
OR,42.6922,-120.5403,-6.611133467
OR,45.4756,-118.8253,0
OR,44.3006,-120.8406,-17.07551564
OR,42.7331,-122.5164,-20.99948052
OR,42.9508,-123.3572,-16.28779221
OR,45.1219,-122.07,0
OR,45.4539,-123.8519,-7.201992284
OR,45.1986,-117.8647,0
OR,43.9814,-117.2439,0
OR,45.5731,-117.5311,0
PA,39.9353,-77.6394,-13.70181818
PA,41.4003,-79.8306,-7.309395739
PA,40.3372,-76.4617,-15.42957335
PA,41.8511,-75.8583,0
PA,41.0172,-80.3614,0
PA,41.7394,-75.4464,-12.43571934
PA,41.4197,-78.7492,-8.405194805
PA,40.7831,-76.8617,0
PA,40.7933,-77.8672,-8.062337662
PA,41.0147,-75.2072,-12.61217391
PA,41.7511,-76.4431,0
PA,39.915,-79.7192,0
PA,41.8467,-79.1494,0
PA,41.7003,-77.3872,-9.434816018
PA,39.9708,-75.635,11.70450828
PA,39.9167,-76.75,0
RI,41.4903,-71.5431,-8.927792208
SC,33.4925,-81.6958,0
SC,34.5283,-82.6608,-9.751688312
SC,34.0906,-82.5883,-13.87844156
