"Figure 3. Change in Unusually Hot Temperatures in the Contiguous 48 States, 1948-2023",,,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,,
"Data source: NOAA, 2024",,,
Web update: June 2024,,,
Units: Change in number of days hotter than 95th percentile,,,
,,,
State,Lat,Long,Change in 95 percent Days
MT,48.5883,-109.2267,0
MT,47.8206,-112.1922,0
MT,45.2089,-112.6389,0
MT,45.8864,-104.5478,0
MT,45.3394,-111.7122,16.50909091
MT,46.8217,-108.3725,0
MT,48.4983,-109.8014,0
MT,48.7783,-114.8997,0
MT,47.1058,-104.7175,0
MT,46.2461,-114.1681,7.718163278
MT,44.8667,-111.3392,0
MT,45.9228,-108.2453,9.494268206
MT,45.9353,-107.1375,0
MT,47.3144,-106.9103,0
MT,48.3042,-114.2642,10.26701299
MT,48.4036,-115.5392,0
MT,48.4828,-104.4514,0
MT,47.0572,-109.9511,0
MT,45.4875,-111.6336,0
MT,46.3158,-113.3,0
MT,46.4178,-104.5164,0
MT,45.1769,-109.2572,15.34224576
MT,47.315,-114.0983,10.50483657
MT,47.4536,-104.3378,0
MT,48.3119,-112.2492,0
MT,47.88,-105.3686,0
MT,45.2925,-111.9444,9.10961039
NE,41.6853,-98.0083,-15.61465008
NE,42.1103,-102.8967,0
NE,41.0408,-96.3811,0
NE,42.5136,-99.0303,0
NE,40.3706,-95.7469,-9.113513514
NE,40.1306,-99.8278,0
NE,41.6681,-103.1039,8.815135135
NE,41.4083,-99.675,-11.16363636
NE,40.6092,-96.8719,0
NE,40.6344,-100.5219,0
NE,41.2483,-97.0581,-13.75806058
NE,40.0739,-97.1669,-12.23480519
NE,40.6422,-97.5928,-20.21968864
NE,40.5394,-97.5906,-9.565714286
NE,41.4514,-97.7644,-12.57038961
NE,40.9394,-100.1514,-15.61038961
NE,42.6858,-103.8842,0
NE,42.6167,-97.2608,-23.0841839
NE,40.6472,-98.3836,-18.15376623
NE,40.175,-97.5903,-11.81714286
NE,40.4517,-99.3803,-21.44103896
NE,40.5092,-101.6514,0
NE,41.2453,-103.6344,11.2431129
NE,41.1489,-102.6361,0
NE,41.2789,-98.9697,-17.17869916
NE,41.8292,-97.45,-25.60081324
NE,40.2289,-100.61,0
NE,42.9194,-101.7089,0
NE,40.5156,-98.9514,-14.41662338
NE,41.4969,-98.7714,-20.50882558
NE,42.0644,-97.9667,-18.21818182
NE,40.1117,-96.1514,-21.69682938
NE,42.065,-100.2472,0
NE,40.0978,-98.5197,0
NE,41.2078,-98.4608,0
NE,40.9169,-97.0897,0
NE,40.6661,-96.1892,-8.122597403
NE,40.3544,-96.1939,0
NE,41.7881,-96.2325,-11.48383794
NE,42.3017,-96.9003,0
NE,40.8639,-96.1414,-23.57488479
NE,40.8678,-97.5922,0
NV,39.4931,-117.0675,-8.32989909
NV,39.4572,-118.7811,13.65700029
NV,40.9567,-117.4922,0
NV,40.17,-118.4775,0
NV,39.4142,-114.7739,24.51591191
NV,38.3878,-118.1092,11.92876712
NV,35.4661,-114.9217,0
NV,41.1169,-114.9786,0
NH,43.1419,-70.95,0
NH,45.09,-71.2906,9.954285714
NH,43.7053,-72.2856,8.154805195
NH,42.9389,-72.3247,0
NJ,40.8917,-74.3964,10.71910112
NJ,41.03,-74.4247,0
NJ,40.5742,-74.8817,0
NJ,40.2664,-74.5642,13.98545455
NJ,39.7994,-74.7806,0
NJ,40.2969,-74.0017,0
NJ,39.9683,-74.865,24.40258942
NJ,40.6036,-74.4025,0
NM,36.835,-108.0006,19.13799476
NM,35.5297,-104.0936,0
NM,32.3478,-104.2225,22.85721338
NM,33.6308,-105.8964,0
NM,36.9178,-106.5781,0
NM,36.4661,-104.9456,11.57194805
NM,36.9358,-107,20.9086758
NM,33.1461,-107.1842,28.52779221
NM,32.7939,-108.1514,0
NM,34.4667,-104.2319,-26.26657132
NM,35.7783,-106.6872,12.67342817
NM,32.6161,-106.7403,0
NM,34.7675,-106.7611,41.16338096
NM,33.8225,-108.9417,17.47719085
NM,32.9542,-105.8222,10.29402597
NM,34.5208,-106.2606,14.21922078
NM,32.3789,-106.0925,0
NM,36.71,-105.4164,0
NM,35.1086,-103.3283,11.28557324
NM,34.9561,-104.7217,0
NM,34.0606,-106.8842,11.21118158
NM,36.3628,-104.585,-25.15330824
NM,32.2822,-106.7597,27.88216783
NM,35.2006,-103.6867,25.00779221
NM,33.0719,-106.0411,0
NY,42.1014,-77.2344,-12.03996261
NY,42.2797,-77.7664,11.95590602
NY,42.1003,-78.7497,-16.65993886
NY,42.3108,-78.0231,0
NY,42.9328,-76.5447,9.581922174
NY,43.0297,-78.1683,0
NY,40.9519,-72.2978,16.26336969
NY,44.8786,-73.3953,-17.75595238
NY,42.7167,-74.9267,-11.77662338
NY,44.7192,-73.7206,-11.51792208
NY,42.5647,-77.7175,-19.18441558
NY,41.0072,-73.8344,0
NY,42.0997,-76.8358,-9.897142857
NY,42.4497,-79.312,-13.77326007
NY,43.0492,-74.3592,-12.11291642
NY,42.7742,-77.6083,0
NY,43.7547,-74.2756,-17.30701299
NY,42.4492,-76.4492,0
NY,44.3042,-73.9839,0
NY,44.7583,-74.6692,0
NY,43.0603,-74.8686,0
NY,43.1522,-78.6533,0
NY,43.7928,-75.4828,-9.446054885
NY,41.7719,-74.1536,28.228893
NY,42.8417,-75.7264,0
NY,42.5117,-75.5197,0
NY,44.7281,-75.4442,0
NY,43.45,-76.5369,0
NY,41.3892,-74.6906,0
NY,43.0414,-73.8214,0
NY,40.9586,-73.1047,14.35393497
NY,43.8914,-75.0361,-19.81506494
NY,42.7511,-73.685,0
NY,44.2308,-74.4383,0
NY,44.1481,-74.9003,0
NY,43.9761,-75.8753,0
NY,41.3906,-73.9608,-10.09001289
NC,35.4,-80.1994,-14.53818182
NC,35.9086,-79.0797,0
NC,36.0164,-76.5517,0
NC,36.3097,-76.205,0
NC,35.0592,-78.8589,0
NC,36.3489,-78.4119,0
NC,35.3297,-82.4492,0
NC,35.0564,-83.1983,0
NC,35.1967,-77.5433,-25.19548596
NC,35.9147,-81.5375,0
NC,36.1025,-78.3042,0
NC,34.6269,-79.025,0
NC,35.6847,-82.0083,0
NC,35.8033,-82.6658,0
NC,34.9797,-80.5233,0
NC,34.7336,-76.7358,-15.16987013
NC,35.7297,-81.6728,-10.14545455
NC,36.4961,-80.6522,-10.94025974
NC,36.3797,-79.6944,15.09818438
NC,35.6836,-80.4822,-22.95480519
NC,35.5175,-78.3444,0
NC,33.9947,-78.0078,45.08148523
NC,35.81,-80.8808,-11.54493506
NC,35.8842,-77.5386,-13.32779221
NC,36.4003,-81.3053,0
NC,35.4867,-82.9681,0
NC,35.6939,-77.9461,0
ND,48.8217,-100.4528,-7.345454545
ND,48.9158,-103.2981,-8.997402597
ND,46.8914,-102.7792,0
ND,47.3467,-102.5869,0
ND,46.1583,-98.3989,-21.25506494
ND,48.4181,-97.4247,0
ND,47.9217,-97.0975,0
ND,47.4389,-97.0664,-12.31511868
ND,46.8844,-98.685,-12.83532468
ND,48.7622,-98.3447,-22.28675325
ND,46.4444,-97.6928,0
ND,46.8128,-100.9097,0
ND,46.6706,-100.2294,-12.81164801
ND,46.3747,-102.3211,13.4620728
ND,46.5067,-99.7692,-11.70493506
ND,46.5406,-102.8692,0
ND,46.8886,-102.3192,0
ND,48.3706,-100.3908,-7.119206133
ND,48.6061,-100.2911,0
OH,40.8125,-82.9697,0
OH,40.2686,-80.9981,-16.79229879
OH,41.0517,-81.9361,-15.49237768
OH,39.6103,-82.9556,-18.06961039
OH,40.2403,-81.8711,-22.1985742
OH,41.2783,-84.3847,0
OH,41.0461,-83.6622,0
OH,40.1033,-84.6503,0
OH,39.2333,-83.6092,-12.60289912
OH,41.3072,-81.1475,-12.82701299
OH,40.6486,-83.6061,0
OH,39.6522,-81.8561,-28.49130037
OH,40.5375,-81.9197,10.59270005
OH,40.7692,-80.8561,0
OH,41.2633,-82.6147,0
OH,41.2803,-82.2186,-18.23686132
OH,39.8386,-81.9167,-31.58350903
OH,38.7569,-82.8872,0
OH,41.1167,-83.1667,0
OH,40.8333,-83.2833,-15.18763323
OH,40.0992,-83.7822,0
OH,41.2019,-80.8106,-10.90181818
OH,41.5183,-84.1453,0
OH,39.1114,-82.9797,10.92467532
OH,40.7814,-81.9197,0
OK,34.7864,-96.685,0
OK,34.5903,-99.3344,0
OK,34.2208,-95.615,0
OK,34.1772,-97.1617,0
OK,36.8125,-100.5308,0
OK,36.7236,-102.4806,0
OK,36.8003,-99.64,13.76113671
OK,35.1756,-98.5794,-17.24137931
OK,36.7672,-98.4244,0
OK,36.3225,-95.5808,0
OK,34,-96.3686,-17.46788295
OK,36.4194,-97.8747,0
OK,35.2164,-99.8628,0
OK,35.6306,-98.3217,-21.53400317
OK,36.5914,-101.6181,0
OK,35.8161,-97.395,0
OK,35.585,-99.3953,-31.7849211
OK,36.0942,-97.835,0
OK,35.0567,-96.3861,0
OK,36.8594,-101.2214,0
OK,36.6856,-97.7486,0
OK,35.8583,-97.9294,-16.10330261
OK,34.6097,-98.4572,0
OK,34.8911,-99.5017,-15.19124424
OK,35.505,-96.9772,-14.02265254
OK,36.8833,-94.8833,-21.87045046
OK,35.7781,-95.3339,0
OK,36.2283,-99.17,-11.00297668
OK,36.9422,-97.0058,0
OK,36.1217,-98.315,0
OK,35.4253,-96.3033,0
OK,35.6239,-96.025,0
OK,34.7253,-97.2814,-15.8734639
OK,36.6692,-96.3472,0
OK,36.2886,-97.2897,0
OK,36.1175,-97.095,0
OK,35.9369,-94.9644,-21.22678522
OK,34.1747,-97.9964,-21.05171867
OK,35.52,-98.6986,0
OK,35.4814,-95.2039,0
OR,42.2131,-122.7147,16.36155844
OR,44.0569,-121.285,8.601558442
OR,42.0464,-124.2878,0
OR,44.3914,-122.4811,-11.17412587
OR,45.2408,-120.1789,7.635237512
OR,44.6342,-123.19,12.83428571
OR,43.7917,-123.0275,9.104638425
OR,42.8978,-122.1339,0
OR,43.6592,-123.325,9.206507199
OR,45.4539,-121.1303,10.02394445
OR,45.5247,-123.1025,0
OR,42.4239,-123.3219,9.928311688
OR,45.4486,-122.1547,0
OR,45.3653,-119.5639,10.6825974
OR,45.6847,-121.5175,8.505974026
OR,42.2414,-120.3678,17.41047065
OR,44.1792,-122.1164,0
OR,45.2214,-123.1622,0
OR,45.9428,-118.4089,0
OR,45.4825,-120.7236,8.628571429
OR,42.6922,-120.5403,0
OR,45.4756,-118.8253,0
OR,44.3006,-120.8406,8.178615756
OR,42.7331,-122.5164,0
OR,42.9508,-123.3572,24.73142857
OR,45.1219,-122.07,0
OR,45.4539,-123.8519,5.654894247
OR,45.1986,-117.8647,12.79435484
OR,43.9814,-117.2439,-13.57796576
OR,45.5731,-117.5311,20.94348671
PA,39.9353,-77.6394,0
PA,41.4003,-79.8306,0
